7.0, 11.0, 13.0, 15.0, 15.0, 18.0, 18.0, 20.0, 21.0, 23.0, 23.0, 25.0, 26.0, 27.0, 28.0, 29.0
46, 29, 57, 141, 237, 605, 1117, 1716, 3104, 4224, 4817, 6654, 7756, 8792, 8987, 11808
8.0, 9.0, 9.0, 10.0, 13.0, 14.0, 14.0, 16.0, 18.0, 20.0, 21.0, 23.0, 22.0, 24.0, 25.0, 27.0
3, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1
10.0, 11.0, 13.0, 15.0, 16.0, 18.0, 18.0, 20.0, 21.0, 23.0, 23.0, 25.0, 26.0, 27.0, 28.0, 29.0
478, 1288, 4750, 9487, 12351, 27445, 51627, 95201, 139533, 185752, 234443, 267034, 275543, 276444, 286493, 301292

13.0, 7.0, 12.0, 13.0, 11.0, 14.0, 18.0, 16.0, 24.0, 24.0, 14.0, 13.0, 11.0, 11.0, 21.0, 21.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
17.0, 21.0, 22.0, 26.0, 29.0, 30.0, 32.0, 33.0, 36.0, 37.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0
64, 44, 97, 103, 352, 790, 1399, 2176, 3865, 4577, 6033, 6646, 7927, 9212, 10703, 13165
12.0, 16.0, 17.0, 21.0, 22.0, 26.0, 31.0, 31.0, 33.0, 31.0, 32.0, 36.0, 38.0, 40.0, 41.0, 42.0
3, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1
17.0, 21.0, 22.0, 26.0, 29.0, 30.0, 32.0, 33.0, 36.0, 37.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0
428, 1187, 3971, 9263, 21981, 45417, 76959, 129593, 188417, 229600, 259720, 266265, 265489, 272857, 303846, 315229













